0,1,2,3,4,5
Министром иностранных дел в брежневский период был,Молотов,Громыко,Андропов,Косыгин,2
Какое из перечисленных событий явлений научно технического развития относится к 1964 1985 гг,создание атомной бомбы,создание первой в мире ядерной установки,появление новой науки генетики,строительство первого в мире атомного ледокола,2
Галансков Гинзбург Буковский Якир и Красин представители,музыкальной интеллигенции,театральной режиссуры,диссидентского движения,оперного искусства,3
За книги Малая земля Целина и Возрождение Ленинской премии по литературе был удостоен,Хрущев,Жуков,Брежнев,Шукшин,3
Писателями деревенщиками называли,Аксенова Солженицына,Абрамова Распутина,Галича Кима,Бондарева Васильева,2
Какое событие из названных произошло в годы перестройки,развернулось диссидентское движение,отменена 6 я статья Конституции СССР о руководящей роли КПСС,заявлено о переходе к строительству коммунизма,провозглашена политика ограниченного суверенитета по отношению к социалистическим государствам,2
Что из названного относится к результатам экономической политики перестройки,СССР вышел на одно из первых мест в мире по производству товаров на душу населения,сформирован рынок,сокращение производства в промышленности,укрепление денежной системы,3
Что из названного является одним из результатов августовского кризиса 1991 г,запрещение КПСС,введение поста Президента РСФСР,уничтожение Советов,усиление авторитета Президента СССР,1
Какое из названных событий произошло в 1989 г,рухнула Берлинская стена,состоялась встреча Горбачева и Рейгана в Рейкъявике,заключен Договор о сокращении и ограничении стратегических наступательных вооружений СНВ,ГКЧП,1
Переход государственной собственности в частную называется,конверсией,приватизацией,монополизацией,стагнацией,2
Какая позиция из названных характеризует научнокультурную жизнь в России в 1990 е гг,плюрализм,увеличение капиталовложений в образование,приоритетное развитие космических программ,усиление политической цензуры,1
Политическое и идеологическое течение отстаивающее свободу предпринимательства парламентский строй демократические права и свободы личности,консерватизм,либерализм,тоталитаризм,плюрализм,2
Отметьте одну из целей участников ГКЧ,стимулировать развитие рыночных отношений в СССР,укрепить суверенитет РСФСР,расширить демократические свободы в обществе,укрепить положение КПСС в государстве,4
Инициатором жесткой борьбы с коррупцией среди государственных чиновников стал,Брежнев,Черненко,Андропов,Хрущев,3
Что было одной из причин разработки программы 500 дней,необходимость ликвидировать диспропорции в экономике,стремление сохранить плановую систему хозяйствования,желание привлечь иностранные инвестиции,необходимость ликвидации последствий дефолта,1
Какое положение из названных характеризует новое политическое мышление,призыв к мирному сосуществованию капиталистических и социалистических стран,стремление установить ядерный паритет с США,ведение политики умиротворения агрессоров,осуществление политики ограниченного суверенитета,1
Какое положение из названных характеризует новое политическое мышление,Приоритет общечеловеческих ценностей над классовыми и идеологическими,необходимость борьбы с военной угрозой,ограниченный суверенитет для соцстран,целевая материальная помощь странам третьего мира,1
Что из названного является одной из причин распада СССР,политика перестройки,выступление участников ГКЧП,межнациональные конфликты,крах командно административной системы,4
Отметьте одну из причин обусловивших начало перестройки,неспособность руководства страны реализовать достижения нового этапа НТР,нарастание противоречий между экономическими потребностями страны и существующей советско социалистической системой,появление коррупционеров и мафиозных групп,движение диссидентов,2
Отметьте о ком идет речь Государственный деятель в 1990 г на I Съезде народных депутатов РСФСР избран Председателем Верховного Совета России В дни августовского путча непримиримый противник ГКЧ В декабре 1991 г подписал в Минске Соглашение об образовании Содружества Независимых Государств,Лужков,Ельцин,Гайдар,Хасбулатов,2
Кто из названных лиц является сподвижником Ельцина в 1990 1991 гг,Лигачев,Янаев,Рыжков,Гайдар,4
Какие из перечисленных мероприятий были осуществлены Горбачевым,создание Государственной Думы,введение постов губернаторов,введение системы выборов руководителей предприятий и учреждений,утверждение программы построения коммунизма,3
Отметьте одну из причин перестройки социализма начатой Горбачевым,проигрыш СССР в гонке вооружений,массовые забастовки шахтеров и рабочих промышленности,нарастание кризисных явлений в экономике,рост цен на сельскохозяйственные продукты,3
Что из названного является одной из причин политического кризиса 1991 г,недовольство ряда высших государственных деятелей демократическими процессами,стремление автономных республик к выходу из состава РСФСР,коррупция в высших эшелонах власти,военные действия в Чеченской Республике,1
Автор трактата Как нам обустроить Россию,Сахаров,Солжениц,Лихачев,Гранин,2
Какое из перечисленных событий произошло в 1985 1991 гг,разрешена индивидуальная предпринимательская деятельность,разработан Моральный кодекс строителя коммунизма,распущены колхозы,начато создание совхозов,1
Договор о создании СНГ был подписан 8 декабря 1991 г между,РСФСР Казахстаном и Белоруссией,РСФСР Украиной и Белоруссией,РСФСР Татарстаном и Украиной,РСФСР Грузией и Азербайджаном,2
Какое из названных событий произошло в 1989 г,объединение Германии,вывод войск из Афганистана,подписание договора о ликвидации ракет средней и меньшей дальности,состоялись выборы Президента РСФСР,2
Какое из названных положений характеризует новое политическое мышление,признание мира целостным и неделимым,установление железного занавеса между социалистическими и капиталистическими странами,гонка вооружений,соблюдение принципа пролетарского интернационализма,1
Символом перестройки в СССР стал фильм,Климова Иди и смотри,Абуладзе Покаяние,Прошкина Холодное лето пятьдесят третьего,Рязанова Небеса обетованные,2
Какое из перечисленных событий произошло в 1985 1991 гг,отменен курс на строительство коммунизма,высшим законодательным органом в СССР стал Съезд Советов,ликвидировано Главное управление лагерями,разрешены альтернативные выборы,4
Укажите одну из причин неудач экономической политики во второй половине 1980 х годов,приоритетное развитие легкой промышленности в ущерб тяжелой,увеличение зависимости от иностранных инвестиций,сохранение командно административных основ социалистической экономики,антиалкогольная кампания,3
Политика расширения информационного пространства доступа граждан к широкой печатной и телевизионной продукции свободы суждений и оценок различных явлений в жизни общества получила название,гласности,реабилитации,нового политического мышления,развитого социализма,1
Рост цен вызванный несоответствием между количеством денег и произведенными товарами называется,дефляцией,инфляцией,конверсией,дефолтом,2
Договор о создании СНГ был подписан 8 декабря 1991 г Между,РСФСР Украиной и Белоруссией,РСФСР Казахстаном и Белоруссией,РСФСР Эстонией и Украиной,РСФСР Грузией и Казахстаном,1
Самая популярная передача для молодежи во второй половине 80 х гг XX в,Взгляд,Вокруг света,Прожектор перестройки,Культурная революция,1
Литературное произведение посвященное истории преследования генетиков,Ночевала тучка золотая Приставкина,Белые одежды Дудинцева,Архипелаг ГУЛАГ Солженицына,Красное колесо Солженицына,2
Общественно политическая жизнь в России в 1990 е гг характеризовалась,приватизацией,многопартийностью,неосталинизмом,застоем,2
Что из названного характерно для политики шоковой терапии,попытка создать частных собственников,увеличение производства товаров народного потребления,введение госприемки на промышленных предприятиях,увеличение капиталовложений в сельское хозяйство,1
Главным конкурентом Ельцина на выборах Президента РФ в 1996 г был,Жириновский,Зюганов,Явлинский,Немцов,2
Обеспечение обороноспособности страны непосредственная задача,Федерального Собрания РФ,Правительства РФ,Конституционного Суда РФ,Счетной палаты РФ,2
Отметьте участников политического кризиса вызванного начавшимся процессом реформирования политической системы России и уничтожения советской модели государственности,Жириновский Явлинский,Хасбулатов Руцкой,Янаев Язов,Немцов Чубайс,2
Всенародное голосование для решения важнейших государственных вопросов,импичмент,выборы,апелляция,референдум,4
Что из названного характерно для культурного развития России в первой половине 90 х гг,увеличение капиталовложений в сферу образования,массовая эмиграция ученых и деятелей культуры,увеличение капиталовложений в российский кинематограф,компьютеризация всех школ,2
Скульптор создатель памятника посвященного 300 летию российского флота,Коненков,3 Церетели,Неизвестный,Шемякин,2
Что из названного характерно для экономической жизни России в 1990 е гг,прекращение закупок продуктов за границей,стабилизация финансовой системы при помощи Международного валютного фонда,увеличение капиталовложений в сельское хозяйство,резкое увеличение расходов на развитие системы образования,2
Что из названного является одним из результатов внутренней политики Ельцина,урегулирование взаимоотношений между центром и субъектами Федерации,отделение ряда республик от Федерации,ликвидация автономий республик входящих в Федерацию,прекращение национальных конфликтов,1
Что из названного является одним из результатов шоковой терапии,установлено рыночное соотношение спроса и предложения на произведенную в стране продукцию,начался процесс увеличения ВВП,сокращена внешняя задолженность страны перед западными государствами,стабилизированы цены на продовольственные товары,1
Какое из названных событий произошло в 1994 г,Татарстан подписал Федеративный договор,начались военные действия в Дагестане,боевики захватили заложников в Буденновске,состоялись выборы Президента РФ,1
Главный режиссер театра Ленком создатель художественных фильмов Обыкновенное чудо Убить дракона Формула любви,Захаров,Волчек,Табаков,Ширвиндт,1
Культурное явление 70 90 х годов для которого характерны стилевой плюрализм гротеск ирония аллюзии и в то же время обращение к традициям,постмодернизм,концептуализм,футуризм,ампир,1
Что из названного характерно для развития России в 90 е гг XX в,гонка вооружений,увеличение внешнего долга России,укрупнение колхозов,усиление идеологического контроля,2
Внешняя политика России в 1992 1999 гг характеризовалась,выводом советских войск из Афганистана,подписанием Кэмп Дэвидской декларации,полной выплатой внешнего долга,разрушением Берлинской стены,2
Для общественно политического развития России в 1990 е гг было характерно,увеличение количества автономных республик,подписание Федеративного договора,подписание Хельсинкских соглашений,усиление позиций Коммунистической партии,2
Что из названного было характерно для экономической политики правительства под руководством Гайдара,разработка планов спасения социалистической экономики,получение концессий,либерализация цен,увеличение валового национального продукта,3
Внешняя политика России в 2000 2008 гг Характеризовалась,присоединением к программе НАТО Партнерство во имя мира,выводом войск из бывших социалистических стран,борьбой с терроризмом,формулированием концепции ограниченного суверенитета,3
Отметьте о ком идет речь Государственный деятель в марте 1997 г назначенный заместителем руководителя Администрации президента В июле 1998 г стал руководителем Федеральной службы безопасности России 16 августа 1999 г был утвержден в должности Председателя Правительства Р,Гайдар,Черномырдин,Путин,Касьянов,3
Какое из названных событий произошло в 1996 г,Россия была принята в Совет Европы,Россия стала членом Парижского клуба,объявлено о создании СНГ,Россия подписала Кэмп Дэвидскую декларацию,1
В 1995 г премии американской киноакадемии Оскар был удостоен фильм Михалкова,Сибирский цирюльник,Утомленные солнцем,Раба любви,Свой среди чужих чужой среди своих,2
В результате экономических реформ 1990 х гг,каждый гражданин страны получил свою часть в общей собственности государства,экономика России становилась многоукладной,большая часть населения стала мелкими предпринимателями,распущены колхозы,2
С политическим кризисом 1993 г Связано,создание СНГ,провозглашение суверенитета РСФСР,разработка проекта новой Конституции,ГКЧП,3
Что из названного характерно для внешней политики Российской Федерации в 1992 1999 гг,укрепление международного авторитета,расширение контактов с НАТО,усиление позиций социалистического блока в мире,укрепление обороноспособности страны,2
Что из названного характеризует экономическую политику правительства Черномырдина,приоритетное развитие легкой промышленности,отказ от финансовой помощи МВФ,прекращение закупок продуктов за границей,введение валютного коридора,4
Отметьте режиссера создателя остросоциальных фильмов Предсказание и Небеса обетованные,Рязанов,Михалков,Данелия,Гайдай,1
Отметьте известного современного художника создателя собственной галереи,Шилов,Захаров,Васильев,Гергиев,1
Дефолт 1998 г характеризовался,резким падением курса доллара,увеличением объемов заимствований у Международного валютного фонда,увеличением капиталовложений в оборонную промышленность,снижением темпов инфляции,2
В начале 2000 г Россия во внешней политике сблизилась,с Францией и Германией,с США и Великобританией,с Италией и Турцией,с США и Японией,1
Стремление республик к отделению проведению самостоятельной внутренней и внешней политики,коалиция,сепаратизм,консолидация,федерализм,2
Отметьте источник стабилизации экономики в 1999 2000 гг,высокие цены на нефть,высокие цены на зерно,оживление внутреннего производства связанное с отсутствием конкуренции с западными предприятиями,ужесточение дисциплины на предприятиях,1
Отметьте черту развития российской культуры в 2000 2005 гг,усиление государственного контроля за творческой интеллигенцией,увеличение количества выпускаемых на экран российских художественных фильмов,массовая эмиграция деятелей культуры,финансирование культурных проектов по остаточному принципу,2
В Сочи ежегодно проходит кинофестиваль,Золотой лев,Кинотавр,Сполохи,Золотой орел,2
Кружок ближайших друзей Александра I неофициальный совещательный орган при императоре назывался,Избранной радой,Негласным комитетом,Непременным советом,Верховным тайным советом,2
Высший судебный орган Российской империи,Святейший Синод,Правительствующий Сенат,Комитет министров,Кабинет министров,2
Турцию в войне против России в 1806 1812 гг поддерживала,Англия,Франция,Пруссия,Италия,2
Главнокомандующим русской армией летом 1812 г был назначен,Багратион,Барклай де Толли,Раевский,Коновницын,2
Батареей которая находилась в центре боевого расположения русских войск на Бородинском поле командовал,Раевский,Багратион,Давыдов,Уваров,1
В Священный союз в 1815 г вошли,Франция Россия Англия,Россия Пруссия Австрия,Россия Турция Англия,Россия Австрия Италия,2
Диктатором во время подготовки восстания декабристов на Сенатской площади был назначен,Трубецкой,Рылеев,Волконский,Каховский,1
Какое из названных событий произошло в 1802 г,открыт университет в Петербурге,начата губернская реформа,издан указ об отмене крепостного права в Прибалтике,учреждены министерства,4
В начале XIX в высшим судебным органом Российской империи являлся,Государственный совет,Сенат,императорская канцелярия,Комитет министров,2
Кто из перечисленных государственных деятелей начала XIX в был автором проекта Введение к уложению государственных законов в основу которого был положен принцип разделения властей,Сперанский,Строганов,Новосильцев,Аракчеев,1
Прочтите отрывок из труда Ключевского и укажите имя государственного деятеля о котором идет речь Уже при Павле он получил известность в петербургском чиновном мире По воцарении Александра он был переведен в Непременный совет Все важнейшие проекты законов изданных с 1802 г были редактированы как управляющим департаментом министерства внутренних дел,Новосильцев,Сперанский,Аракчеев,Чарторыйский,2
Территории России в результате решений Венского конгресса 1815 г были расширены за счет присоединения,Грузии,Аляски,герцогства Варшавского,Восточной Пруссии,3
Органом законодательной власти в Царстве Польском в соответствии с Конституцией дарованной Александром I являлся,Сейм,Государственный совет,Рада,Генеральные штаты,1
Кто из перечисленных членов Негласного комитета стал министром внутренних дел,Кочубей,Строганов,Чарторыйский,Новосильцев,1
Крестьяне были признаны наследственными владельцами своих земельных участков,в центральной части Европейской России,в Сибири,в Польше,в Прибалтике,4
Система взглядов отстаивавшая необходимость сохранения существующих государственных порядков экономических отношений законов и т п,либерализм,олигархия,консерватизм,масонство,3
Воспитатель Александра I прививший юному наследнику либеральные взгляды,Пален,Шувалов,Панин,Лагарп,4
Идея освобождения крестьян от крепостной зависимости и наделения их землей в размере двух десятин на двор содержалась в проекте конституции,Новосильцева,Пестеля,Муравьева,Сперанского,3
В октябре 1813 г русско прусские войска потерпели поражение,при Лютцене,под Лейпцигом,под Берлином,при Ватерлоо,2
Какое событие из перечисленных ниже состоялось в сентябре 1815 г,битва на реке Березине,союзные войска вступили в Париж,русская армия вступила в польские земли,создан Священный союз,4
По делу о восстании декабристов 14 декабря 1825 г были казнены,Пестель и Каховский,Бестужев Рюмин и Муравьев,Трубецкой и Волконский,Рылеев и Юшневский,1
Третью коалицию против Наполеона в 1805 г Составили,Россия Пруссия Швеция,Россия Англия Швейцария,Россия Англия Австрия,Россия Италия Австрия,3
В 1812 г Россия закончила войну,с Швецией,с Турцией,с Персией,с Ираном,2
В 1810 г для рассмотрения и подготовки важнейших государственных законов был создан,Государственный совет,Совет министров,Кабинет министров,Избранный совет,1
Сперанский высказывал идею о введении в России,конституционной монархии,неограниченной монархии,республиканской формы правления,федеративного устройства,1
При отступлении из Москвы император Франции Наполеон повернул на Старую Смоленскую дорогу после сражения,у села Тарутина,под Малоярославцем,при Березине,под Смоленском,2
С целью экономии государственных бюджетных средств на содержание армии были введены,каторжные работы,гвардейские полки,произведена отмена крепостного права в Прибалтике,военные поселения,4
Главой Польского государства в соответствии с Конституцией являлся,король,российский император,российский император,канцлер,2
Какое из перечисленных событий произошло в 1816 г,восстание Семеновского полка,создание Союза Спасения,создание Общества благоденствия,восстание Черниговского полка,2
Александр I отменил крепостное право,на Украине,в Польше,в Новороссии,в Прибалтике,4
Идею конституционной монархии одним из первых в России высказывал,Карамзин,Сперанский,Румянцев,Сенявин,2
Автором проекта Уставной грамоты Российской империи был,Сперанский,Новосильцев,Аракчеев,Александр I,2
Священный союз был создан с целью,оказания экономической помощи европейским государствам пострадавшим от наполеоновской агрессии,политической поддержки монархий в борьбе с революциями,для военной поддержки европейских государств в захватах новых колоний,охраны Наполеона на острове Эльба,2
Во главе Южного тайного общества находились,Муравьев Трубецкой,Карамзин Давыдов,Юшневский Тормасов,Пестель Бестужев Рюмин,4
Император Александр I даровал конституцию,Польше,Грузии,народам Сибири,народам Кавказа,1
В ходе Отечественной войны 1812 г произошло сражение,под Лесной,у Березины,под Кунерсдорфом,под Аустерлицем,2
Для внутренней политики Александра I после войны 1812 г была характерна,экономия государственного бюджета,разработка проекта отмены крепостного права в Центральной России,введение Новоторгового устава,запрещение продажи государственных крестьян в частные руки,1
Новосильцев один из ближайших соратников Александра I в Уставной грамоте Российской империи предлагал,создать двухпалатный парламент,ввести республиканскую форму правления,воссоздать Земский собор,ввести выборы императора,1
Что было одним из результатов Заграничных походов русской армии в 1813 1814 гг,укрепились позиции России на международной арене,Россия усилила свое влияние на Балканах,во Франции установилась конституционная монархия,Россия отказалась от завоеванных территорий в Европе,1
Политический или военный союз между государствами называется,конгрессом,коалицией,содружеством,ассамблеей,2
Какое событие из перечисленных ниже произошло в 1809 г,Россия вступила в войну с Турцией,опубликован указ о вольных хлебопашцах,к России была присоединена Финляндия,создан Негласный комитет,3
Для экономической политики Александра I в 1801 1812 гг было характерно,выделение государственных средств на строительство мануфактур,сокращение расходов на армию,поощрение вывоза товаров из России,разработка мер позволивших ограничить крепостное право,4
Республиканскую форму правления предлагал ввести в России,Муравьев,Пестель,Трубецкой,Карамзин,2
Основателем династии московских князей был,Юрий Долгорукий,Андрей Боголюбский,Даниил Александрович,Иван Калита,3
Какое из названных событий произошло раньше других,Ливонская война,Смоленская война,поход Ермака в Сибирь,поход Ивана III на Великий Новгород,4
Мастер Дионисий работал над росписями,Троице Сергиева монастыря,Ферапонтова монастыря под Вологдой,Андроникова монастыря в Москве,Данилова монастыря,2
Понятие политика просвещенного абсолютизма связано с царствованием,Павла I,Анны Иоанновны,Екатерины II,Алексея Михайловича,3
Проведение реформы государственной деревни строительство первой в России железной дороги относятся к царствованию,Николая I,Александра I,Николая II,Александра II,1
Почему в XVIII в в России усилилась крепостная зависимость крестьян,происходило массовое бегство крестьян за границу,возросло потребление дворянством продуктов сельскохозяйственного производства,формировалась система дворянских привилегий,возросла зависимость дворянства от монархической власти,3
Завершение промышленного переворота в России означало,переход к фабричному производству в ведущих отраслях промышленности,развитие промышленности в национальных окраинах страны,появление монополистических объединений в промышленности,преобладание промышленного сектора экономики над аграрным,1
Неудачи России в Первой мировой войне были вызваны,международной поддержкой Германии,кризисом в снабжении армии,договором о взаимопомощи в случае военных действий с Сербией,созданием Тройственного союза,2
К какому из перечисленных художественных объединений принадлежал Репин,Товарищество передвижных художественных выставок,Бубновый валет,Серапионовы братья,Ассоциация художников революционной России,1
Кто возглавил Совет народных комиссаров созданный на II Всероссийском съезде рабочих и солдатских депутатов,Троцкий,Рыков,Ленин,Сталин,3
Что из перечисленного можно отнести к следствиям индустриализации в СССР в довоенный период,создание комплекса предприятий тяжёлой промышленности,сокращение военных расходов,интенсивное развитие лёгкой промышленности,формирование многоукладной экономики,1
Военная операция советских войск под Сталинградом завершилась,переходом Красной Армии к стратегической обороне,стабилизацией фронта и переходом к позиционной войне,освобождением Белоруссии,окружением и уничтожением немецкой армии Паулюса,4
Что из перечисленного относится к характерным чертам политической жизни СССР в 1970 х середине 1980 хгг,реабилитация политических заключённых,отказ от критики культа личности Сталина,снижение численности партийного аппарата,отход от признания руководящей роли КПСС,2
Что из перечисленного относится к последствиям Второй мировой войны проявившимся в первое послевоенное десятилетие,расширение политического влияния СССР в мире,заключение советско американского Договора о сокращении ракет средней и меньшей дальности,укрепление связей СССР с союзниками по антигитлеровской коалиции,подписание Заключительного акта Хельсинкского Совещания по безопасности и сотрудничеству в Европе,1
Предоставление несколькими журналами литературной трибуны Ахматовой и Зощенко было осуждено в 1946 г постановлением Оргбюро ЦК ВКП б Укажите названия этих журналов,Новый мир и Юность,Дружба народов и Иностранная литература,Звезда и Ленинград,Москва и Октябрь,3
Первые годы проведения рыночных реформ в России 1992 1993 гг были отмечены,преодолением дефицита продовольственных товаров,макроэкономической стабилизацией,развитием военно промышленного комплекса,увеличением доходов большинства населения,1
